className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
PMKolmogorovSmirnov1SampleTest,PMKolmogorovSmirnov1SampleTest28,PMKolmogorovSmirnov1Sample,72.73,90.91,18.18,5,40,47,0,0,3,2,1,1,113,0,5,240,11,5,False,0
PMKolmogorovSmirnov2SampleTest,PMKolmogorovSmirnov2SampleTest23,PMKolmogorovSmirnov2Sample,85.45,90.91,5.45,4,94,50,0,0,8,3,5,1,100,0,4,5,55,4,False,0
PMKolmogorovsDistributionTest,PMKolmogorovsDistributionTest18,PMKolmogorovsDistribution,78.38,78.38,0.00,3,51,36,0,0,16,0,16,1,7,0,3,2,74,3,False,0
PMLaplaceGeneratorTest,PMLaplaceGeneratorTest8,PMLaplaceGenerator,33.33,66.67,33.33,1,12,4,12,1,2,1,1,0,1,0,1,1,3,1,False,0
PMMidpointStepperTest,PMMidpointStepperTest33,PMMidpointStepper,93.33,93.33,0.00,6,18,118,0,0,1,0,1,0,14,0,6,15,15,6,False,0
PMMultivariateNormalDistributionTest,PMMultivariateNormalDistributionTest22,PMMultivariateNormalDistribution,76.19,85.71,9.52,4,50,27,27,2,5,2,3,2,24,1,4,2,21,4,False,0
PMNDArrayTest,PMNDArrayTest78,PMNDArray,97.44,97.44,0.00,15,82,162,0,0,1,0,1,2,94,0,15,2,39,15,False,0
PMNNStoreTest,PMNNStoreTest63,PMNNStore,92.06,95.24,3.17,12,75,146,0,0,5,2,3,0,92,0,12,5,63,12,False,0
PMODESystemTest,PMODESystemTest23,PMODESystem,60.00,80.00,20.00,4,12,27,13,1,2,1,1,0,7,0,4,2,5,4,False,0
PMPermutationTest,PMPermutationTest27,PMPermutation,93.94,93.94,0.00,20,237,87,0,0,6,0,6,1,836,0,5,18,99,20,False,0
PMPoissonGeneratorTest,PMPoissonGeneratorTest23,PMPoissonGenerator,90.00,90.00,0.00,4,35,24,0,0,1,0,1,0,236,0,4,4,10,4,False,0
PMPolynomialTest,PMPolynomialTest33,PMPolynomial,82.84,88.06,5.22,21,168,51,40,7,23,7,19,9,425,2,6,2,134,21,False,2
PMRungeKuttaStepperTest,PMRungeKuttaStepperTest33,PMRungeKuttaStepper,96.00,96.00,0.00,6,22,93,0,0,1,0,1,0,15,0,6,5,25,6,False,0
PMSimpleParameterFunctionTest,PMSimpleParameterFunctionTest23,PMSimpleParameterFunction,88.46,96.15,7.69,4,57,32,25,2,3,2,1,0,10,1,4,4,26,4,False,0
PMSingularValueDecompositionTest,PMSingularValueDecompositionTest73,PMSingularValueDecomposition,66.67,66.67,0.00,14,26,189,0,0,3,0,3,0,188,0,14,4,9,14,False,0
PMSymmetricMatrixTest,PMSymmetricMatrixTest23,PMSymmetricMatrix,65.82,78.48,12.66,4,221,41,17,1,27,10,17,7,86,0,4,2,79,4,False,0
PMTrapezoidStepperTest,PMTrapezoidStepperTest28,PMTrapezoidStepper,64.86,94.59,29.73,5,32,68,75,1,13,11,2,0,15,1,5,4,37,5,False,0
PMVectorTest,PMVectorTest78,PMVector,78.89,84.44,5.56,33,209,129,43,6,19,5,16,11,788,2,15,2,90,33,False,4
