className,amplifiedClass,targets,mutationScoreBefore,mutationScoreAfter,mutationImprove,numberOfOriginalTestMethods,targetLoc,testLoc,testAmpLoc,n_amplifiedMethods,n_notCoveredInOriginal,n_newCovered,n_notCoveredInAmplified,n_methodsNotProfiled,timeTotal,max_number_of_changes,numberOfProcessedMethods,testClassTimeToRunInMillis,numberOfAllMutationsInOriginal,numberOfTestMethodsBeforeShreding,timeBudgetFinished,duplicateMutants
PMMidpointStepperTest,PMMidpointStepperTest33,PMMidpointStepper,93.33,93.33,0.00,6,18,118,0,0,1,0,1,0,17,0,6,19,15,6,False,0
PMMultivariateNormalDistributionTest,PMMultivariateNormalDistributionTest22,PMMultivariateNormalDistribution,76.19,85.71,9.52,4,50,27,26,2,5,2,3,2,21,1,4,2,21,4,False,0
PMNDArrayTest,PMNDArrayTest78,PMNDArray,97.44,97.44,0.00,15,82,162,0,0,1,0,1,2,90,0,15,2,39,15,False,0
PMNNStoreTest,PMNNStoreTest63,PMNNStore,92.06,95.24,3.17,12,75,146,0,0,5,2,3,0,88,0,12,4,63,12,False,0
PMODESystemTest,PMODESystemTest23,PMODESystem,60.00,80.00,20.00,4,12,27,13,1,2,1,1,0,6,0,4,1,5,4,False,0
PMPermutationTest,PMPermutationTest28,PMPermutation,93.94,93.94,0.00,20,237,87,0,0,6,0,6,2,637,0,5,25,99,20,False,0
PMPoissonGeneratorTest,PMPoissonGeneratorTest23,PMPoissonGenerator,90.00,90.00,0.00,4,35,24,0,0,1,0,1,0,202,0,4,2,10,4,False,0
PMPolynomialTest,PMPolynomialTest33,PMPolynomial,82.84,84.33,1.49,21,168,64,22,3,23,2,21,6,413,2,6,2,134,21,False,2
PMQuaternionTest,PMQuaternionTest72,PMQuaternion,75.25,83.61,8.36,30,387,96,129,12,74,25,50,5,1673,3,14,3,299,31,True,18
PMRungeKuttaStepperTest,PMRungeKuttaStepperTest33,PMRungeKuttaStepper,96.00,96.00,0.00,6,22,93,0,0,1,0,1,0,11,0,6,3,25,6,False,0
PMSimpleParameterFunctionTest,PMSimpleParameterFunctionTest23,PMSimpleParameterFunction,88.46,96.15,7.69,4,57,32,26,2,3,2,1,0,9,1,4,5,26,4,False,0
PMSingularValueDecompositionTest,PMSingularValueDecompositionTest73,PMSingularValueDecomposition,66.67,66.67,0.00,14,26,189,0,0,3,0,3,0,147,0,14,2,9,14,False,0
PMSymmetricMatrixTest,PMSymmetricMatrixTest23,PMSymmetricMatrix,65.82,77.22,11.39,4,221,41,17,1,27,9,18,7,80,0,4,1,79,4,False,0
PMTrapezoidStepperTest,PMTrapezoidStepperTest28,PMTrapezoidStepper,64.86,94.59,29.73,5,32,68,73,1,13,11,2,0,13,1,5,3,37,5,False,0
PMVectorTest,PMVectorTest78,PMVector,78.89,84.44,5.56,33,209,115,36,4,19,5,14,13,734,1,15,2,90,33,False,4
